observed_on,description,scientific_name,common_name,taxon_order_name,taxon_family_name,field:perching on
09/01/2022,Beaten from Yew (Taxus baccata),Drosophila suzukii,Spotted-winged Drosophila,Diptera,Drosophilidae,
09/01/2022,Beaten from Holm Oak (Quercus ilex),Troilus luridus,Bronze Shield Bug,Hemiptera,Pentatomidae,
09/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
09/01/2022,Beaten from Holm Oak (Quercus ilex),Kleidocerys resedae,Birch Catkin Bug,Hemiptera,Lygaeidae,
09/01/2022,Beaten from Holm Oak (Quercus ilex),Diaea dorsata,Eurasian Green Crab Spider,Araneae,Thomisidae,
09/01/2022,Beaten from Holm Oak (Quercus ilex),Acanthosoma haemorrhoidale,Hawthorn Shield Bug,Hemiptera,Acanthosomatidae,
09/01/2022,Beaten from Holm Oak (Quercus ilex),Halyzia sedecimguttata,Orange Ladybird,Coleoptera,Coccinellidae,
09/01/2022,Beaten from Holm Oak (Quercus ilex),Cyclosa conica,Conical Trashline Orbweaver,Araneae,Araneidae,
09/01/2022,Beaten from Holm Oak (Quercus ilex),Acanthosoma haemorrhoidale,Hawthorn Shield Bug,Hemiptera,Acanthosomatidae,
09/01/2022,Beaten from Holm Oak (Quercus ilex),Lyonetia clerkella,Apple Leafminer,Lepidoptera,Lyonetiidae,
10/01/2022,Beaten from Holm Oak (Quercus ilex),Nycteola revayana,Oak Nycteoline,Lepidoptera,Nolidae,
10/01/2022,Beaten from Holm Oak (Quercus ilex),Ballus chalybeius,Oak Jumping Spider,Araneae,Salticidae,
10/01/2022,Beaten from Holm Oak (Quercus ilex),Gonocerus acuteangulatus,Box Bug,Hemiptera,Coreidae,
10/01/2022,Beaten from Holm Oak (Quercus ilex),Drosophila suzukii,Spotted-winged Drosophila,Diptera,Drosophilidae,
10/01/2022,Beaten from Holm Oak (Quercus ilex),Adalia decempunctata,10-spot Ladybird,Coleoptera,Coccinellidae,
10/01/2022,Beaten from Holm Oak (Quercus ilex),Adalia decempunctata,10-spot Ladybird,Coleoptera,Coccinellidae,
10/01/2022,Beaten from Oak (Quercus sp),Acanthosoma haemorrhoidale,Hawthorn Shield Bug,Hemiptera,Acanthosomatidae,
10/01/2022,Beaten from Oak (Quercus sp),Harmonia axyridis,Harlequin Ladybird,Coleoptera,Coccinellidae,
10/01/2022,Beaten from Turkey Oak (Quercus cerris),Stenopsocus immaculatus,,Psocodea,Stenopsocidae,
10/01/2022,Beaten from Hawthorn (Crataegus sp),Anthonomus bituberculatus,,Coleoptera,Curculionidae,
10/01/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
10/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
11/01/2022,,Musotima nitidalis,Golden-brown Fern Moth,Lepidoptera,Crambidae,
11/01/2022,,Anyphaena numida,,Araneae,Anyphaenidae,
11/01/2022,,Halyzia sedecimguttata,Orange Ladybird,Coleoptera,Coccinellidae,
09/01/2022,,Episyrphus balteatus,Marmalade Hover Fly,Diptera,Syrphidae,
13/01/2022,"We Are Preston - Heritage Project.
(Metroland Wildlife).

This ob. is duplicated on the Brent Parks Friends Project.

Near to John Billam
https://www.goparks.london/park/john-billam-sports-ground

A listed site on the London Gardens Trust - historic interest Inventory.
https://londongardenstrust.org/conservation/inventory/site-record/?ID=BRE035&sitename=Tenterden+Fields+and+John+Billam+Tenterden+Recreation+Grounds

Small snail.   Quick Gloss similar.
Very small 3 mm - diameter with no stripes / girdle on body whirl. Brown and amber semi translucent.
Looks like a gloss snail but the spire and apex ends in a peak - not flat.
Any ideas anyone ! No white girdle though at all and looks fully matured but only 3mm d.

https://upload.wikimedia.org/wikipedia/commons/a/aa/Illustrated_Index_of_British_Shells_Plate_23.jpg
",Hygromia cinctella,Girdled Snail,Stylommatophora,Hygromiidae,
13/01/2022,"Single specimen observed on winter-flowering tree germander (Teucrium fruticans) on a surprisingly mild January day, with bees seen foraging nearby. ",Eristalis tenax,Common Drone Fly,Diptera,Syrphidae,
14/01/2022,,Segestria florentina,Green-Fanged Tube Web Spider,Araneae,Segestriidae,
14/01/2022,,Diplolepis rosae,Robin's Pincushion Gall Wasp,Hymenoptera,Diplolepididae,
14/01/2022,"I can't quite believe I photographed this in mid-January. Spotted in a nettle patch on Wanstead Flats, London. ",Vanessa atalanta,Red Admiral,Lepidoptera,Nymphalidae,
14/01/2022,,Eristalis tenax,Common Drone Fly,Diptera,Syrphidae,
14/01/2022,"Observed feeding on flowering Tree Germander today at 1:30 pm. Also observed feeding on nectar: Bombus terrestris.

Winter Bumblebees are regularly seen at this site, but hoverflies are somewhat surprising in mid-January. ",Meliscaeva auricollis,Spotted Thintail,Diptera,Syrphidae,
14/01/2022,,Araneus diadematus,European Garden Spider,Araneae,Araneidae,
02/01/2022,,Bombus terrestris audax,,Hymenoptera,Apidae,
16/01/2022,,Bombus terrestris audax,,Hymenoptera,Apidae,
14/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
14/01/2022,Beaten from Hawthorn (Crataegus sp),Graphopsocus cruciatus,F-winged Barklouse,Psocodea,Stenopsocidae,
14/01/2022,Beaten from Hawthorn (Crataegus sp),Araniella,Cucumber Spiders,Araneae,Araneidae,
14/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
14/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
14/01/2022,Beaten from Hawthorn (Crataegus sp),Gibbaranea gibbosa,Humped orbweb spider,Araneae,Araneidae,
14/01/2022,Beaten from Hawthorn (Crataegus sp),Cardiastethus fasciiventris,,Hemiptera,Anthocoridae,
14/01/2022,Beaten from Hawthorn (Crataegus sp),Araniella,Cucumber Spiders,Araneae,Araneidae,
14/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
17/01/2022," My garden , UK                              ",Phlogophora meticulosa,Angle Shades,Lepidoptera,Noctuidae,
13/01/2022,Beaten from Hawthorn (Crataegus sp),Pentatoma rufipes,Forest Bug,Hemiptera,Pentatomidae,
13/01/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
17/01/2022,,Anodonta anatina,Duck Mussel,Unionida,Unionidae,
18/01/2022,,Pseudeuophrys lanigera,House Jumping Spider,Araneae,Salticidae,
16/01/2022,,Bombus terrestris,Buff-tailed Bumble Bee,Hymenoptera,Apidae,
19/01/2022,,Hygromia cinctella,Girdled Snail,Stylommatophora,Hygromiidae,
20/01/2022,,Anodonta anatina,Duck Mussel,Unionida,Unionidae,
20/01/2022,,Anodonta anatina,Duck Mussel,Unionida,Unionidae,
21/01/2022,,Vespula germanica,German Wasp,Hymenoptera,Vespidae,
21/01/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
21/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
21/01/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
21/01/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
21/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
21/01/2022,Beaten from Holm Oak (Quercus ilex),Graphopsocus cruciatus,F-winged Barklouse,Psocodea,Stenopsocidae,
21/01/2022,Beaten from Hawthorn (Crataegus sp),Gibbaranea gibbosa,Humped orbweb spider,Araneae,Araneidae,
21/01/2022,Beaten from Hawthorn (Crataegus sp),Physatocheila dumetorum,hawthorn lacebug,Hemiptera,Tingidae,
22/01/2022,,Agriopis marginaria,Dotted Border Moth,Lepidoptera,Geometridae,
22/01/2022,On Quercus robur,Andricus aries,Ram's Horn Gall Wasp,Hymenoptera,Cynipidae,
22/01/2022,on Irish Yew,Taxomyia taxi,Artichoke Gall-midge,Diptera,Cecidomyiidae,
22/01/2022,,Steatoda nobilis,Noble False Widow,Araneae,Theridiidae,
23/01/2022,,Phytomyza ilicis,European Holly Leafminer,Diptera,Agromyzidae,
23/01/2022,,Bombus terrestris audax,,Hymenoptera,Apidae,
22/01/2022,,Emmelina monodactyla,Common Plume Moth,Lepidoptera,Pterophoridae,
23/01/2022,Beaten from Holm Oak (Quercus ilex),Zygina lunaris,,Hemiptera,Cicadellidae,
23/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
23/01/2022,Beaten from Holm Oak (Quercus ilex),Acanthosoma haemorrhoidale,Hawthorn Shield Bug,Hemiptera,Acanthosomatidae,
23/01/2022,Beaten from Holm Oak (Quercus ilex),Stenopsocus immaculatus,,Psocodea,Stenopsocidae,
23/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
23/01/2022,Beaten from Hawthorn (Crataegus sp),Physatocheila dumetorum,hawthorn lacebug,Hemiptera,Tingidae,
23/01/2022,Beaten from Hawthorn (Crataegus sp),Platnickina tincta,False Pirate Spider,Araneae,Theridiidae,
23/01/2022,Beaten from Hawthorn (Crataegus sp),Paroligolophus agrestis,,Opiliones,Phalangiidae,
23/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
23/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
23/01/2022,Beaten from Hawthorn (Crataegus sp),Drosophila suzukii,Spotted-winged Drosophila,Diptera,Drosophilidae,
23/01/2022,Beaten from Hawthorn (Crataegus sp),Kleidocerys resedae,Birch Catkin Bug,Hemiptera,Lygaeidae,
23/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
23/01/2022,Beaten from Hawthorn (Crataegus sp),Episyrphus balteatus,Marmalade Hover Fly,Diptera,Syrphidae,
23/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
23/01/2022,Beaten from Holm Oak (Quercus ilex),Opilio canestrinii,Canestrini's Harvestman,Opiliones,Phalangiidae,
23/01/2022,Beaten from Holm Oak (Quercus ilex),Graphopsocus cruciatus,F-winged Barklouse,Psocodea,Stenopsocidae,
23/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
22/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
22/01/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
22/01/2022,Beaten from Hawthorn (Crataegus sp),Kleidocerys resedae,Birch Catkin Bug,Hemiptera,Lygaeidae,
22/01/2022,Beaten from Hawthorn (Crataegus sp),Cardiastethus fasciiventris,,Hemiptera,Anthocoridae,
22/01/2022,Beaten from Hawthorn (Crataegus sp),Adalia bipunctata,2-spot Ladybird,Coleoptera,Coccinellidae,
22/01/2022,Beaten from Hawthorn (Crataegus sp),Zilla diodia,Zilla Orbweaver,Araneae,Araneidae,
22/01/2022,Beaten from Hawthorn (Crataegus sp),Diaea dorsata,Eurasian Green Crab Spider,Araneae,Thomisidae,
23/01/2022,,Harmonia axyridis,Harlequin Ladybird,Coleoptera,Coccinellidae,
22/01/2022,,Zygiella x-notata,Silver-sided Sector Spider,Araneae,Phonognathidae,
25/01/2022,,Nezara viridula,Southern Green Shield Bug,Hemiptera,Pentatomidae,
25/01/2022,,Segestria florentina,Green-Fanged Tube Web Spider,Araneae,Segestriidae,
26/01/2022,"My garden , UK                              ",Noctua pronuba,Large Yellow Underwing,Lepidoptera,Noctuidae,
26/01/2022,Beaten from Holm Oak (Quercus ilex),Adalia decempunctata,10-spot Ladybird,Coleoptera,Coccinellidae,
26/01/2022,Beaten from Hawthorn (Crataegus sp),Platnickina tincta,False Pirate Spider,Araneae,Theridiidae,
26/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
26/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
26/01/2022,Beaten from Hawthorn (Crataegus sp),Paroligolophus agrestis,,Opiliones,Phalangiidae,
26/01/2022,Beaten from Hawthorn (Crataegus sp),Cartodere bifasciata,,Coleoptera,Latridiidae,
26/01/2022,Beaten from Hawthorn (Crataegus sp),Cartodere bifasciata,,Coleoptera,Latridiidae,
14/01/2022,,Steatoda nobilis,Noble False Widow,Araneae,Theridiidae,
27/01/2022,,Episyrphus balteatus,Marmalade Hover Fly,Diptera,Syrphidae,
27/01/2022,On a Giant Sequoia (Sequoiadendron giganteum) on a 7 degrees Celsius morning ,Bombus terrestris,Buff-tailed Bumble Bee,Hymenoptera,Apidae,
27/01/2022,Beaten from Yew (Taxus baccata),Hyptiotes paradoxus,Triangle spider,Araneae,Uloboridae,
27/01/2022,Beaten from Yew (Taxus baccata),Hyptiotes paradoxus,Triangle spider,Araneae,Uloboridae,
27/01/2022,Beaten from Holm Oak (Quercus ilex),Platnickina tincta,False Pirate Spider,Araneae,Theridiidae,
27/01/2022,Beaten from Hawthorn (Crataegus sp),Cerobasis guestfalica,,Psocodea,Trogiidae,
27/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
27/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
27/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
27/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
27/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
27/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
27/01/2022,Beaten from Holm Oak (Quercus ilex),Adalia decempunctata,10-spot Ladybird,Coleoptera,Coccinellidae,
27/01/2022,Beaten from Holm Oak (Quercus ilex),Diaea dorsata,Eurasian Green Crab Spider,Araneae,Thomisidae,
27/01/2022,Beaten from Holm Oak (Quercus ilex),Kleidocerys resedae,Birch Catkin Bug,Hemiptera,Lygaeidae,
27/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
27/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
27/01/2022,Beaten from Holm Oak (Quercus ilex),Harmonia axyridis,Harlequin Ladybird,Coleoptera,Coccinellidae,
27/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
27/01/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
27/01/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
27/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
27/01/2022,Beaten from Hawthorn (Crataegus sp),Cardiastethus fasciiventris,,Hemiptera,Anthocoridae,
27/01/2022,Beaten from Holly (Ilex aquifolium),Coccinella septempunctata,7-spot ladybird,Coleoptera,Coccinellidae,
27/01/2022,Beaten from Holly (Ilex aquifolium),Cyclosa conica,Conical Trashline Orbweaver,Araneae,Araneidae,
27/01/2022,Beaten from Holly (Ilex aquifolium),Acanthosoma haemorrhoidale,Hawthorn Shield Bug,Hemiptera,Acanthosomatidae,
27/01/2022,Beaten from Holm Oak (Quercus ilex),Graphopsocus cruciatus,F-winged Barklouse,Psocodea,Stenopsocidae,
27/01/2022,Beaten from Holm Oak (Quercus ilex),Kleidocerys resedae,Birch Catkin Bug,Hemiptera,Lygaeidae,
27/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
27/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
28/01/2022,Beaten from Ivy (Hedera helix),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
28/01/2022,,Steatoda nobilis,Noble False Widow,Araneae,Theridiidae,
28/01/2022,Beaten from Holm Oak (Quercus ilex),Harmonia axyridis,Harlequin Ladybird,Coleoptera,Coccinellidae,
28/01/2022,Beaten from Holm Oak (Quercus ilex),Calvia quatuordecimguttata,Cream-spot Ladybird,Coleoptera,Coccinellidae,
28/01/2022,Beaten from Holly (Ilex aquifolium),Halyzia sedecimguttata,Orange Ladybird,Coleoptera,Coccinellidae,
28/01/2022,Beaten from Holm Oak (Quercus ilex),Calvia quatuordecimguttata,Cream-spot Ladybird,Coleoptera,Coccinellidae,
28/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
